File,URL,Time,Weather,Temperature,Humidity,Wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Passing clouds.,29ʡC,1011 mbar,13 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.10,Passing clouds.,28ʡC,1011 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Passing clouds.,28ʡC,1011 mbar,15 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.10,Passing clouds.,28ʡC,1011 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Passing clouds.,27ʡC,1011 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.10,Passing clouds.,27ʡC,1012 mbar,13 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Passing clouds.,26ʡC,1012 mbar,13 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.10,Passing clouds.,26ʡC,1012 mbar,9 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Passing clouds.,26ʡC,1013 mbar,9 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.10,Passing clouds.,25ʡC,1013 mbar,7 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Passing clouds.,25ʡC,1014 mbar,7 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.10,Passing clouds.,25ʡC,1014 mbar,7 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Passing clouds.,25ʡC,1014 mbar,6 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.10,Passing clouds.,25ʡC,1014 mbar,6 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Passing clouds.,24ʡC,1015 mbar,7 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.10,Passing clouds.,24ʡC,1015 mbar,7 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Passing clouds.,24ʡC,1014 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.10,Passing clouds.,24ʡC,1014 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,24ʡC,1014 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.10Monday 1 February,Clear.,22ʡC,1016 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40,Clear.,22ʡC,1016 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.10,Clear.,22ʡC,1015 mbar,6 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.10,Haze.,22ʡC,1015 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Haze.,21ʡC,1015 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.10,Haze.,21ʡC,1015 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.10,Haze.,21ʡC,1015 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Haze.,21ʡC,1015 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.10,Fog.,21ʡC,1015 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.40,Fog.,20ʡC,1015 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,06.10,Fog.,20ʡC,1015 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.10,Fog.,21ʡC,1016 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Fog.,21ʡC,1016 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.40,Fog.,22ʡC,1017 mbar,6 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.10,Fog.,23ʡC,1017 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Fog.,24ʡC,1017 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.10,Fog.,26ʡC,1017 mbar,15 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.10,Partly sunny.,28ʡC,1016 mbar,15 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Partly sunny.,27ʡC,1016 mbar,11 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.10,Partly sunny.,29ʡC,1015 mbar,17 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Partly sunny.,29ʡC,1015 mbar,20 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.10,Partly sunny.,28ʡC,1015 mbar,15 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.40,Partly sunny.,28ʡC,1014 mbar,19 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.10,Partly sunny.,28ʡC,1014 mbar,15 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Partly sunny.,28ʡC,1013 mbar,13 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.10,Partly sunny.,28ʡC,1013 mbar,19 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Partly sunny.,28ʡC,1013 mbar,19 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.10,Partly sunny.,27ʡC,1013 mbar,19 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Partly sunny.,27ʡC,1013 mbar,19 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.10,Passing clouds.,27ʡC,1014 mbar,17 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Scattered clouds.,26ʡC,1014 mbar,13 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.10,Passing clouds.,26ʡC,1014 mbar,9 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Passing clouds.,25ʡC,1015 mbar,11 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.10,Passing clouds.,24ʡC,1015 mbar,11 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Passing clouds.,24ʡC,1015 mbar,9 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.10,Passing clouds.,24ʡC,1015 mbar,11 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Passing clouds.,24ʡC,1015 mbar,11 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.10,Passing clouds.,24ʡC,1016 mbar,No wind
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Passing clouds.,24ʡC,1016 mbar,7 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.10,Passing clouds.,24ʡC,1016 mbar,6 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Passing clouds.,23ʡC,1016 mbar,6 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.10,Passing clouds.,23ʡC,1016 mbar,4 km/h
Soupfile_1.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,22ʡC,1015 mbar,4 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40Monday 1 March,Clear.,26ʡC,1013 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40,Clear.,26ʡC,1012 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Clear.,25ʡC,1012 mbar,7 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Passing clouds.,24ʡC,1012 mbar,No wind
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.40,Haze.,24ʡC,1013 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Fog.,25ʡC,1015 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Scattered clouds.,30ʡC,1016 mbar,9 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Clear.,32ʡC,1015 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Scattered clouds.,33ʡC,1013 mbar,4 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.40,Passing clouds.,34ʡC,1013 mbar,15 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Passing clouds.,34ʡC,1012 mbar,19 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Passing clouds.,33ʡC,1011 mbar,19 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Passing clouds.,32ʡC,1011 mbar,19 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Passing clouds.,30ʡC,1011 mbar,15 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Passing clouds.,28ʡC,1012 mbar,13 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Passing clouds.,27ʡC,1013 mbar,13 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Passing clouds.,27ʡC,1013 mbar,7 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Passing clouds.,27ʡC,1014 mbar,7 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Passing clouds.,26ʡC,1014 mbar,6 km/h
Soupfile_2.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,26ʡC,1014 mbar,No wind
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40Thursday 1 April,Clear.,29ʡC,1009 mbar,13 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40,Clear.,29ʡC,1008 mbar,19 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Clear.,29ʡC,1007 mbar,15 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.40,Clear.,29ʡC,1007 mbar,13 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.40,Haze.,28ʡC,1008 mbar,13 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,06.40,Haze.,28ʡC,1008 mbar,11 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Haze.,29ʡC,1009 mbar,13 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.40,Haze.,31ʡC,1010 mbar,15 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Clear.,32ʡC,1010 mbar,15 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Clear.,34ʡC,1010 mbar,17 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Clear.,36ʡC,1009 mbar,11 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Clear.,37ʡC,1008 mbar,6 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.40,Clear.,36ʡC,1007 mbar,19 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Clear.,35ʡC,1005 mbar,22 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Clear.,35ʡC,1005 mbar,20 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Clear.,33ʡC,1005 mbar,20 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Clear.,32ʡC,1005 mbar,15 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Clear.,31ʡC,1006 mbar,13 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Clear.,30ʡC,1007 mbar,11 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Clear.,30ʡC,1008 mbar,9 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Clear.,30ʡC,1008 mbar,11 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Clear.,30ʡC,1009 mbar,9 km/h
Soupfile_3.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,29ʡC,1009 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40Saturday 1 May,Partly cloudy.,27ʡC,1011 mbar,7 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40,Partly cloudy.,27ʡC,1011 mbar,6 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Partly cloudy.,27ʡC,1010 mbar,13 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.40,Partly cloudy.,27ʡC,1009 mbar,13 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Thunderstorms. Partly cloudy.,26ʡC,1011 mbar,11 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Rain. Overcast.,25ʡC,1013 mbar,No wind
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.40,Rain. More clouds than sun.,25ʡC,1014 mbar,11 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Rain. Broken clouds.,25ʡC,1015 mbar,15 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Light rain. Broken clouds.,25ʡC,1013 mbar,20 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Drizzle. Broken clouds.,26ʡC,1011 mbar,20 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Broken clouds.,28ʡC,1010 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Broken clouds.,32ʡC,1008 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Partly sunny.,34ʡC,1007 mbar,6 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Partly sunny.,34ʡC,1007 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Scattered clouds.,32ʡC,1008 mbar,17 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Passing clouds.,31ʡC,1008 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Passing clouds.,29ʡC,1009 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Passing clouds.,29ʡC,1010 mbar,9 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Passing clouds.,29ʡC,1010 mbar,6 km/h
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Passing clouds.,28ʡC,1011 mbar,No wind
Soupfile_4.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,27ʡC,1010 mbar,No wind
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.10Tuesday 1 June,Passing clouds.,30ʡC,1006 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40,Passing clouds.,30ʡC,1006 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.10,Passing clouds.,30ʡC,1006 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40,Passing clouds.,30ʡC,1006 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Passing clouds.,29ʡC,1005 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.10,Passing clouds.,29ʡC,1005 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.40,Passing clouds.,29ʡC,1005 mbar,13 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Passing clouds.,29ʡC,1006 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.40,Clear.,29ʡC,1006 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,06.40,Haze.,29ʡC,1006 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Haze.,30ʡC,1007 mbar,7 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.40,Haze.,32ʡC,1008 mbar,19 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Clear.,34ʡC,1008 mbar,13 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.10,Sunny.,34ʡC,1008 mbar,17 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Clear.,35ʡC,1007 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.10,Clear.,35ʡC,1007 mbar,13 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Clear.,36ʡC,1007 mbar,9 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Sunny.,37ʡC,1006 mbar,6 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.10,Scattered clouds.,36ʡC,1005 mbar,24 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.40,Scattered clouds.,35ʡC,1004 mbar,22 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.10,Scattered clouds.,35ʡC,1004 mbar,19 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,15.40,Scattered clouds.,35ʡC,1004 mbar,17 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,16.40,Scattered clouds.,34ʡC,1004 mbar,15 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,17.40,Scattered clouds.,33ʡC,1004 mbar,9 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.10,Scattered clouds.,33ʡC,1004 mbar,11 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,18.40,Passing clouds.,32ʡC,1004 mbar,7 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,19.40,Passing clouds.,31ʡC,1005 mbar,17 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,20.40,Passing clouds.,31ʡC,1006 mbar,17 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.10,Passing clouds.,31ʡC,1006 mbar,13 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,21.40,Passing clouds.,31ʡC,1006 mbar,13 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,22.40,Passing clouds.,31ʡC,1007 mbar,17 km/h
Soupfile_5.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,23.40,Passing clouds.,31ʡC,1006 mbar,13 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40Thursday 1 July,Thundershowers. Mostly cloudy.,28ʡC,1002 mbar,No wind
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.10,Partly cloudy.,29ʡC,1002 mbar,13 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.40,Partly cloudy.,28ʡC,1002 mbar,17 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.10,Partly cloudy.,28ʡC,1002 mbar,13 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Partly cloudy.,28ʡC,1002 mbar,13 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.10,Partly cloudy.,28ʡC,1002 mbar,13 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.40,Partly cloudy.,28ʡC,1002 mbar,17 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,06.40,Broken clouds.,29ʡC,1003 mbar,20 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.10,Broken clouds.,29ʡC,1003 mbar,17 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Broken clouds.,29ʡC,1003 mbar,19 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.10,Broken clouds.,29ʡC,1003 mbar,19 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.40,Broken clouds.,29ʡC,1004 mbar,19 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.10,Broken clouds.,29ʡC,1004 mbar,15 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Broken clouds.,30ʡC,1004 mbar,19 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.10,Broken clouds.,30ʡC,1004 mbar,22 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Broken clouds.,30ʡC,1004 mbar,19 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.10,Broken clouds.,31ʡC,1004 mbar,22 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.40,Broken clouds.,31ʡC,1003 mbar,26 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.10,Broken clouds.,31ʡC,1003 mbar,22 km/h
Soupfile_6.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Broken clouds.,31ʡC,1003 mbar,22 km/h
